tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres								
tt10539436	tvSeries	Survivor Stories	Survivor Stories	0	2015	\N	\N	Documentary								
tt10540128	tvSeries	Anak Jalanan	Anak Jalanan	0	2015	2017	\N	Drama	Romance							
tt10544918	tvSeries	Bana Baba Dedi	Bana Baba Dedi	0	2015	2015	90	Comedy	Family							
tt10549040	tvSeries	Lucky Chow	Lucky Chow	0	2015	\N	\N	Documentary								
tt10549146	tvSeries	Global Health Frontiers	Global Health Frontiers	0	2015	2015	\N	Reality-TV								
tt10549158	tvSeries	Fall in Love with Music	Fall in Love with Music	0	2015	2015	\N	Music								
tt10553914	tvSeries	Brief But Spectacular	Brief But Spectacular	0	2015	\N	\N	Biography	Short							
tt10560752	tvSeries	Rising Star Turkey	Rising Star Turkey	0	2015	2016	120	Game-Show	Music	Reality-TV						
tt10564824	tvSeries	Channel 5 Access	Channel 5 Access	0	2015	\N	2	News								
tt10568888	tvSeries	Uta no prince-sama - Revolutions	Uta no prince-sama - Revolutions	0	2015	2015	24	Musical								
tt10573592	tvSeries	Good Bad or Bad Bad	Good Bad or Bad Bad	0	2015	\N	\N	Comedy	Talk-Show							
tt10580370	tvSeries	Apologia TV	Apologia TV	0	2015	\N	\N	Talk-Show								
tt10584444	tvSeries	The Call of Cthulhu Mystery Program	The Call of Cthulhu Mystery Program	0	2015	\N	\N	Comedy	Horror	Mystery						
tt10588894	tvSeries	Ve Kazanan	Ve Kazanan	0	2015	2015	100	Game-Show	Music	Reality-TV						
tt10595488	tvSeries	Nippon! Rekishi Kantei	Nippon! Rekishi Kantei	0	2015	\N	\N	\N								
tt10602930	tvSeries	Peaking	Peaking	0	2015	\N	\N	Adventure	Sport							
tt10603694	tvSeries	Dance Recall	Dance Recall	0	2015	2016	\N	Music								
tt10608832	tvSeries	2015 AFC Asian Cup	2015 AFC Asian Cup	0	2015	2015	\N	Sport								
tt10612158	tvSeries	Hero Live: The Amazing Trade Shop Math Race	Hero Live: The Amazing Trade Shop Math Race	0	2015	2015	58	History								
tt10613718	tvSeries	2015-2016 Süper Lig	2015-2016 Süper Lig	0	2015	2016	90	Sport								
tt10618852	tvSeries	TIDAL Rising	TIDAL Rising	0	2015	\N	\N	Music								
tt10618950	tvSeries	Bolice	Bolice	0	2015	2017	25	Action	Comedy	Crime						
tt10619556	tvSeries	Wakecation	Wakecation	0	2015	2016	\N	Sport								
tt10619918	tvSeries	Simdi ve Burada	Simdi ve Burada	0	2015	2016	\N	Documentary								
tt10619962	tvSeries	Young & Minted: I Won the Lottery	Young & Minted: I Won the Lottery	0	2015	2015	\N	Documentary								
tt10621338	tvSeries	Jewelry	Jewelry	0	2015	\N	120	Talk-Show								
tt10623586	tvSeries	Keep Your Tips Up	Keep Your Tips Up	0	2015	2017	\N	Sport								
tt10623686	tvSeries	Sparkle in Silver Jewelry	Sparkle in Silver Jewelry	0	2015	\N	120	Talk-Show								
tt10623718	tvSeries	Sterling Moments Jewelry	Sterling Moments Jewelry	0	2015	\N	120	Talk-Show								
tt10629560	tvSeries	Satula	Satula	0	2015	2015	5	Drama								
